orf1	0-53
orf1-r	156522-156572
orf10	582-614
orf10-r	155925-156026
orf100	7395-7628
orf100-r	149160-149204
orf1000	80406-80426
orf1000-r	75243-75314
orf1001	80427-80447
orf1001-r	75177-75230
orf1002	80448-80522
orf1002-r	74790-75176
orf1003	80523-80549
orf1003-r	74658-74771
orf1004	80571-80600
orf1004-r	74517-74657
orf1005	80601-80645
orf1005-r	74481-74516
orf1006	80646-80930
orf1006-r	74421-74465
orf1007	80931-80984
orf1007-r	74388-74420
orf1008	80985-81005
orf1008-r	74295-74369
orf1009	81039-81071
orf1009-r	74274-74294
orf101	7629-7871
orf101-r	149124-149159
orf1010	81072-81191
orf1010-r	74181-74273
orf1011	81204-81260
orf1011-r	74136-74168
orf1012	81261-81326
orf1012-r	74016-74126
orf1013	81327-81365
orf1013-r	73977-74015
orf1014	81366-81389
orf1014-r	73932-73976
orf1015	81390-81437
orf1015-r	73854-73922
orf1016	81438-81500
orf1016-r	73737-73853
orf1017	81501-81656
orf1017-r	73701-73736
orf1018	81657-81701
orf1018-r	73620-73700
orf1019	81717-81785
orf1019-r	73581-73610
orf102	7899-7958
orf102-r	149100-149123
orf1020	81786-81836
orf1020-r	73218-73580
orf1021	81840-81914
orf1021-r	73164-73217
orf1022	81915-81965
orf1022-r	73140-73163
orf1023	81966-81998
orf1023-r	73098-73127
orf1024	81999-82043
orf1024-r	72933-73061
orf1025	82059-82100
orf1025-r	72897-72932
orf1026	82101-82211
orf1026-r	72861-72896
orf1027	82212-82244
orf1027-r	72804-72839
orf1028	82245-82406
orf1028-r	72702-72803
orf1029	82407-82613
orf1029-r	72639-72701
orf103	7959-7991
orf103-r	149070-149096
orf1030	82614-82640
orf1030-r	72582-72638
orf1031	82641-82712
orf1031-r	72555-72581
orf1032	82731-82763
orf1032-r	72477-72554
orf1033	82764-82829
orf1033-r	72438-72476
orf1034	82854-82931
orf1034-r	72372-72398
orf1035	82932-83006
orf1035-r	72288-72371
orf1036	83016-83048
orf1036-r	71883-72287
orf1037	83049-83096
orf1037-r	71814-71870
orf1038	83097-83294
orf1038-r	71784-71807
orf1039	83295-83396
orf1039-r	71724-71783
orf104	7998-8021
orf104-r	148956-149069
orf1040	83397-83543
orf1040-r	71562-71723
orf1041	83547-83600
orf1041-r	71478-71561
orf1042	83631-83657
orf1042-r	71397-71477
orf1043	83658-83720
orf1043-r	71247-71396
orf1044	83721-83744
orf1044-r	71202-71246
orf1045	83751-83918
orf1045-r	71019-71189
orf1046	83928-84029
orf1046-r	70998-71018
orf1047	84030-84149
orf1047-r	70968-70997
orf1048	84150-84281
orf1048-r	70923-70949
orf1049	84282-84314
orf1049-r	70887-70922
orf105	8022-8057
orf105-r	148929-148955
orf1050	84315-84380
orf1050-r	70800-70886
